step,train_loss,val_loss,val_loss_hard
0,5.559617,5.558195,5.558195
1000,2.411613,2.367588,2.367588
2000,2.205576,2.181045,2.181045
3000,2.112658,2.099746,2.099746
4000,2.054164,2.049434,2.049434
5000,2.017238,2.001155,2.001155
6000,1.970549,1.954344,1.954344
7000,1.924913,1.920152,1.920152
8000,1.900564,1.892616,1.892616
9000,1.888403,1.879721,1.879721
10000,1.861075,1.865363,1.865363
11000,1.847968,1.841530,1.841530
12000,1.837818,1.837729,1.837729
13000,1.837492,1.830038,1.830038
14000,1.822655,1.817342,1.817342
15000,1.805409,1.812001,1.812001
16000,1.809829,1.800445,1.800445
17000,1.787160,1.798157,1.798157
18000,1.792173,1.785927,1.785927
19000,1.782564,1.776876,1.776876
20000,1.776852,1.767427,1.767427
21000,1.759828,1.766099,1.766099
22000,1.760287,1.757537,1.757537
23000,1.761841,1.749931,1.749931
24000,1.748513,1.744499,1.744499
25000,1.746793,1.740822,1.740822
26000,1.733132,1.731999,1.731999
27000,1.728806,1.727571,1.727571
28000,1.724814,1.719289,1.719289
29000,1.724669,1.713350,1.713350
30000,1.709582,1.708058,1.708058
31000,1.702117,1.702140,1.702140
32000,1.696903,1.699018,1.699018
33000,1.693667,1.692606,1.692606
34000,1.701154,1.692116,1.692116
35000,1.677805,1.686490,1.686490
36000,1.686478,1.681883,1.681883
37000,1.681778,1.674876,1.674876
38000,1.673081,1.670362,1.670362
39000,1.661007,1.668002,1.668002
40000,1.670656,1.665433,1.665433
41000,1.669270,1.662068,1.662068
42000,1.664967,1.656486,1.656486
43000,1.658300,1.653897,1.653897
44000,1.657193,1.652733,1.652733
45000,1.659586,1.649690,1.649690
46000,1.649062,1.646926,1.646926
47000,1.648109,1.646035,1.646035
48000,1.644799,1.646520,1.646520
49000,1.642542,1.643508,1.643508
