step,train_loss,val_loss,val_loss_hard
0,5.550761,5.550943,5.550943
1000,2.600253,2.563990,2.563990
2000,2.380529,2.359637,2.359637
3000,2.266572,2.253552,2.253552
4000,2.196813,2.205959,2.205959
5000,2.142957,2.148542,2.148542
6000,2.093415,2.093522,2.093522
7000,2.059717,2.062892,2.062892
8000,2.040290,2.047509,2.047509
9000,2.021537,2.003408,2.003408
10000,1.992230,1.990303,1.990303
11000,1.979398,1.969394,1.969394
12000,1.968036,1.958503,1.958503
13000,1.945062,1.944086,1.944086
14000,1.932234,1.933645,1.933645
15000,1.921266,1.931243,1.931243
16000,1.911643,1.917079,1.917079
17000,1.908190,1.902150,1.902150
18000,1.893695,1.897475,1.897475
19000,1.888086,1.885909,1.885909
20000,1.884571,1.880704,1.880704
21000,1.880322,1.871132,1.871132
22000,1.862308,1.865177,1.865177
23000,1.857350,1.859249,1.859249
24000,1.853422,1.849217,1.849217
25000,1.850775,1.843909,1.843909
26000,1.841001,1.834965,1.834965
27000,1.842256,1.833045,1.833045
28000,1.836786,1.827080,1.827080
29000,1.815670,1.829110,1.829110
30000,1.813689,1.814831,1.814831
31000,1.812878,1.809101,1.809101
32000,1.808235,1.805019,1.805019
33000,1.802628,1.798354,1.798354
34000,1.808807,1.795904,1.795904
35000,1.791759,1.789623,1.789623
36000,1.779292,1.784440,1.784440
37000,1.780516,1.779818,1.779818
38000,1.782471,1.778236,1.778236
39000,1.778921,1.773951,1.773951
40000,1.769782,1.771580,1.771580
41000,1.773286,1.768285,1.768285
42000,1.761938,1.763468,1.763468
43000,1.755479,1.763835,1.763835
44000,1.766013,1.760562,1.760562
45000,1.758955,1.757715,1.757715
46000,1.759360,1.756497,1.756497
47000,1.759598,1.753923,1.753923
48000,1.763705,1.753827,1.753827
49000,1.746257,1.749864,1.749864
