step,train_loss,val_loss,val_loss_hard
0,5.559533,5.555566,
1000,5.019562,4.814797,
2000,3.981726,3.848727,
3000,3.440984,3.403237,
4000,3.303321,3.280419,
5000,3.257646,3.251079,
6000,3.243107,3.236333,
7000,3.233478,3.224403,
8000,3.219451,3.214101,
9000,3.221993,3.202225,
10000,3.207337,3.194138,
11000,3.193319,3.183927,
12000,3.188780,3.172945,
13000,3.176849,3.160038,
14000,3.155147,3.142436,
15000,3.135934,3.121585,
16000,3.128542,3.099824,
17000,3.097472,3.083534,
18000,3.084776,3.066855,
19000,3.069165,3.050828,
20000,3.051216,3.041017,
21000,3.051660,3.026598,
