step,train_loss,val_loss,val_loss_hard
0,5.557668,5.556805,5.556805
1000,2.408613,2.357290,2.357290
2000,2.141088,2.121918,2.121918
3000,2.001653,1.983886,1.983886
4000,1.923510,1.908380,1.908380
5000,1.873854,1.877029,1.877029
6000,1.843244,1.829141,1.829141
7000,1.809913,1.802680,1.802680
8000,1.790176,1.778897,1.778897
9000,1.766522,1.764628,1.764628
10000,1.747752,1.744870,1.744870
11000,1.729465,1.723284,1.723284
12000,1.708060,1.708787,1.708787
13000,1.696097,1.696649,1.696649
14000,1.685829,1.690805,1.690805
15000,1.675136,1.674822,1.674822
16000,1.669317,1.668941,1.668941
17000,1.662256,1.662130,1.662130
18000,1.657136,1.654353,1.654353
19000,1.653343,1.653661,1.653661
20000,1.642512,1.642998,1.642998
21000,1.638113,1.638151,1.638151
22000,1.638388,1.635981,1.635981
23000,1.630234,1.631215,1.631215
24000,1.629521,1.626017,1.626017
25000,1.630621,1.622830,1.622830
26000,1.621959,1.619379,1.619379
27000,1.619395,1.619765,1.619765
28000,1.614009,1.612466,1.612466
29000,1.612437,1.611865,1.611865
30000,1.616263,1.611531,1.611531
31000,1.611440,1.611225,1.611225
32000,1.602402,1.606298,1.606298
33000,1.604195,1.603204,1.603204
34000,1.596413,1.600889,1.600889
35000,1.600663,1.597871,1.597871
36000,1.600605,1.597447,1.597447
37000,1.592959,1.595029,1.595029
38000,1.589528,1.594401,1.594401
39000,1.587803,1.589248,1.589248
40000,1.592049,1.589176,1.589176
41000,1.584905,1.586311,1.586311
42000,1.587043,1.584803,1.584803
43000,1.583518,1.581251,1.581251
44000,1.580831,1.579656,1.579656
45000,1.580014,1.578419,1.578419
46000,1.571204,1.575528,1.575528
47000,1.571561,1.572635,1.572635
48000,1.566680,1.572292,1.572292
49000,1.569547,1.570007,1.570007
50000,1.568103,1.569033,1.569033
51000,1.561634,1.568256,1.568256
52000,1.569298,1.564424,1.564424
53000,1.559238,1.564586,1.564586
54000,1.564005,1.561140,1.561140
55000,1.559837,1.561597,1.561597
56000,1.560134,1.557678,1.557678
57000,1.556276,1.557187,1.557187
58000,1.552935,1.554003,1.554003
59000,1.555740,1.553758,1.553758
60000,1.553089,1.551625,1.551625
61000,1.551774,1.548726,1.548726
62000,1.552542,1.547852,1.547852
63000,1.546472,1.546392,1.546392
64000,1.543090,1.545537,1.545537
65000,1.550195,1.545221,1.545221
66000,1.540492,1.541830,1.541830
67000,1.540343,1.540435,1.540435
68000,1.536328,1.539784,1.539784
69000,1.533266,1.538296,1.538296
70000,1.537366,1.537762,1.537762
71000,1.537368,1.535179,1.535179
72000,1.535542,1.533762,1.533762
73000,1.536528,1.531096,1.531096
74000,1.533729,1.532031,1.532031
75000,1.533513,1.530150,1.530150
76000,1.529594,1.528721,1.528721
77000,1.525637,1.527186,1.527186
78000,1.527749,1.525690,1.525690
79000,1.528461,1.526269,1.526269
80000,1.526083,1.524375,1.524375
81000,1.522705,1.523659,1.523659
82000,1.524893,1.523104,1.523104
83000,1.521483,1.521405,1.521405
84000,1.525994,1.520925,1.520925
85000,1.519348,1.519453,1.519453
86000,1.519588,1.519364,1.519364
87000,1.523278,1.517328,1.517328
88000,1.518920,1.518500,1.518500
89000,1.513991,1.516103,1.516103
90000,1.518234,1.516830,1.516830
91000,1.514232,1.515947,1.515947
92000,1.511035,1.515086,1.515086
93000,1.513809,1.514879,1.514879
94000,1.515068,1.513288,1.513288
95000,1.515257,1.513980,1.513980
96000,1.514111,1.513292,1.513292
97000,1.513842,1.513171,1.513171
98000,1.507548,1.512314,1.512314
99000,1.512045,1.511270,1.511270
