step,train_loss,qreg_loss,lambda,val_loss,val_loss_snapped
0,6.658273,0.362916,0.000000,6.668892,6.851435
1000,2.198976,0.394795,0.000000,2.139819,2.518870
2000,1.936818,0.457805,0.000000,1.920997,2.008963
3000,1.845293,0.484479,0.000000,1.835004,1.860700
4000,1.804972,0.494227,0.000000,1.792830,1.807203
5000,1.771556,0.497772,0.000000,1.771368,1.777100
6000,1.751144,0.499165,0.000000,1.745440,1.749739
7000,1.729309,0.499539,0.000000,1.732517,1.733303
8000,1.715465,0.499894,0.000000,1.712715,1.713440
9000,1.701735,0.499992,0.000000,1.702583,1.703252
10000,1.692559,0.499931,0.000000,1.685100,1.686070
11000,1.675129,0.499920,0.000000,1.674812,1.673854
12000,1.661120,0.499970,0.000000,1.658856,1.659286
13000,1.649027,0.499996,0.000000,1.648488,1.648122
14000,1.641316,0.500006,0.000000,1.637954,1.636942
15000,1.635343,0.499987,0.000000,1.635149,1.635227
16000,1.622619,0.499952,0.000000,1.624540,1.624238
17000,1.624366,0.499937,0.000000,1.616014,1.616791
18000,1.610388,0.499934,0.000000,1.612030,1.611717
19000,1.606332,0.500059,0.000000,1.605115,1.605479
20000,1.600374,0.499991,0.000000,1.601497,1.600673
21000,1.594855,0.498171,0.000125,1.596153,1.596029
22000,1.600346,0.496042,0.000250,1.589493,1.589590
23000,1.586159,0.494004,0.000375,1.584713,1.585186
24000,1.581494,0.492126,0.000500,1.582516,1.582268
25000,1.575790,0.489868,0.000625,1.579644,1.580649
26000,1.576515,0.487612,0.000750,1.577545,1.577223
27000,1.576162,0.485397,0.000875,1.574634,1.573780
28000,1.571146,0.482880,0.001000,1.570634,1.570577
29000,1.565456,0.480320,0.001125,1.567181,1.567816
30000,1.570750,0.477990,0.001250,1.564639,1.565474
31000,1.563640,0.474968,0.001375,1.562998,1.562007
32000,1.559166,0.472609,0.001500,1.560550,1.560033
33000,1.559220,0.470097,0.001625,1.558444,1.558516
34000,1.558383,0.467110,0.001750,1.558317,1.558938
35000,1.555185,0.463590,0.001875,1.555390,1.556102
36000,1.552959,0.460956,0.002000,1.554293,1.555549
37000,1.553303,0.457667,0.002125,1.550885,1.550937
38000,1.551490,0.455231,0.002250,1.551237,1.550744
39000,1.549896,0.451759,0.002375,1.547701,1.547010
40000,1.549949,0.450229,0.002500,1.547629,1.547178
41000,1.549586,0.445485,0.002625,1.547256,1.546034
42000,1.542450,0.442426,0.002750,1.543825,1.543443
43000,1.541204,0.438890,0.002875,1.542764,1.541989
44000,1.541681,0.435015,0.003000,1.538926,1.539458
45000,1.542387,0.432304,0.003125,1.539458,1.539531
46000,1.536740,0.428028,0.003250,1.537645,1.537549
47000,1.536590,0.424515,0.003375,1.535725,1.535424
48000,1.534082,0.419521,0.003500,1.533229,1.532032
49000,1.534304,0.417002,0.003625,1.533325,1.533064
50000,1.534753,0.413342,0.003750,1.532452,1.532020
51000,1.531510,0.409284,0.003875,1.531250,1.531471
52000,1.529286,0.403704,0.004000,1.529360,1.529686
53000,1.528996,0.401023,0.004125,1.528548,1.528551
54000,1.529139,0.395060,0.004250,1.528459,1.527958
55000,1.529170,0.392212,0.004375,1.526894,1.526234
56000,1.521814,0.387225,0.004500,1.524638,1.525959
57000,1.525212,0.381343,0.004625,1.524584,1.524097
58000,1.517970,0.377170,0.004750,1.523849,1.522088
59000,1.521027,0.372001,0.004875,1.522298,1.521518
60000,1.519832,0.366901,0.005000,1.520382,1.520092
61000,1.524652,0.361429,0.005125,1.519575,1.520962
62000,1.518470,0.356624,0.005250,1.519622,1.519346
63000,1.517949,0.351171,0.005375,1.517559,1.516253
64000,1.519171,0.346005,0.005500,1.516431,1.516080
65000,1.512831,0.340496,0.005625,1.516608,1.515853
66000,1.514903,0.334242,0.005750,1.514902,1.514698
67000,1.514796,0.326869,0.005875,1.515532,1.515109
68000,1.513701,0.322618,0.006000,1.514268,1.513552
69000,1.517554,0.315717,0.006125,1.512774,1.512133
70000,1.510599,0.309005,0.006250,1.512693,1.512591
71000,1.509123,0.303999,0.006375,1.510826,1.511305
72000,1.512608,0.297337,0.006500,1.511712,1.511616
73000,1.513405,0.289740,0.006625,1.509724,1.509350
74000,1.506573,0.283205,0.006750,1.509348,1.509717
75000,1.508755,0.277409,0.006875,1.509279,1.509041
76000,1.507033,0.269814,0.007000,1.507930,1.507705
77000,1.511198,0.263699,0.007125,1.507313,1.507067
78000,1.509378,0.256290,0.007250,1.508257,1.507990
79000,1.510848,0.249172,0.007375,1.506340,1.506266
80000,1.507208,0.243337,0.007500,1.506746,1.505827
