step,train_loss,qreg_loss,lambda,sdpa_temp,val_loss,val_loss_snapped
0,6.711492,0.362916,0.000000,1.000000,6.670768,6.829286
1000,2.288499,0.463504,0.000000,0.960400,2.247116,2.273105
2000,2.090233,0.488650,0.000000,0.920800,2.069019,2.077429
3000,1.980896,0.494801,0.000000,0.881200,1.974982,1.976138
4000,1.928474,0.497123,0.000000,0.841600,1.926680,1.927340
5000,1.893856,0.498460,0.000000,0.802000,1.887250,1.887509
6000,1.858840,0.499158,0.000000,0.762400,1.847294,1.847419
7000,1.820634,0.499508,0.000000,0.722800,1.824658,1.825263
8000,1.799232,0.499785,0.000000,0.683200,1.798316,1.798569
9000,1.790110,0.499950,0.000000,0.643600,1.784806,1.785759
10000,1.770582,0.499958,0.000000,0.604000,1.764068,1.764411
11000,1.758980,0.498338,0.000250,0.564400,1.757520,1.756978
12000,1.745675,0.497065,0.000500,0.524800,1.747692,1.747534
13000,1.735707,0.496007,0.000750,0.485200,1.736223,1.734808
14000,1.732185,0.495150,0.001000,0.445600,1.727279,1.727991
15000,1.719339,0.494467,0.001250,0.406000,1.722369,1.721782
16000,1.714101,0.493482,0.001500,0.366400,1.717605,1.717294
17000,1.720284,0.492502,0.001750,0.326800,1.716045,1.715956
18000,1.706625,0.491775,0.002000,0.287200,1.706928,1.707011
19000,1.713991,0.490918,0.002250,0.247600,1.703003,1.702670
20000,1.705148,0.489953,0.002500,0.208000,1.700906,1.700715
21000,1.699939,0.489389,0.002750,0.168400,1.703043,1.702708
22000,1.713447,0.488355,0.003000,0.128800,1.707689,1.707978
23000,1.711543,0.488640,0.003250,0.089200,1.712247,1.712427
24000,1.752021,0.489173,0.003500,0.049600,1.744814,1.744917
25000,2.226289,0.491289,0.003750,0.010000,2.357275,2.356279
26000,2.321558,0.480025,0.004000,0.010000,2.316161,2.316200
27000,2.285227,0.478625,0.004250,0.010000,2.264079,2.263050
28000,2.222271,0.474507,0.004500,0.010000,2.222303,2.222236
29000,2.198283,0.475900,0.004750,0.010000,2.198673,2.199926
30000,2.157766,0.475068,0.005000,0.010000,2.158237,2.157503
31000,2.138566,0.472891,0.005250,0.010000,2.134124,2.133112
32000,2.128483,0.471812,0.005500,0.010000,2.125788,2.125176
33000,2.109005,0.474727,0.005750,0.010000,2.098019,2.098460
34000,2.080451,0.472432,0.006000,0.010000,2.091414,2.089929
35000,2.071624,0.471975,0.006250,0.010000,2.076293,2.075761
36000,2.072096,0.470998,0.006500,0.010000,2.065429,2.064200
37000,2.059622,0.470779,0.006750,0.010000,2.055288,2.054360
38000,2.036363,0.467713,0.007000,0.010000,2.034558,2.033842
39000,2.032928,0.467820,0.007250,0.010000,2.030157,2.030111
40000,2.019934,0.467436,0.007500,0.010000,2.014037,2.014483
41000,2.006976,0.467885,0.007750,0.010000,2.002559,2.003160
42000,2.004212,0.466254,0.008000,0.010000,1.998681,1.998927
43000,1.993578,0.463942,0.008250,0.010000,1.991794,1.990889
44000,1.983836,0.462614,0.008500,0.010000,1.982710,1.982816
45000,1.977094,0.461060,0.008750,0.010000,1.975175,1.977086
46000,1.982550,0.456859,0.009000,0.010000,1.971485,1.971216
47000,1.969389,0.455221,0.009250,0.010000,1.967151,1.966334
48000,1.954886,0.454749,0.009500,0.010000,1.961701,1.961351
49000,1.959020,0.454046,0.009750,0.010000,1.956347,1.956598
