step,train_loss,qreg_loss,lambda,val_loss,val_loss_snapped
0,5.635044,0.363082,0.000000,5.620000,
1000,2.142349,0.452634,0.000000,2.108183,
2000,1.995425,0.491370,0.000000,1.992360,
3000,1.931601,0.498268,0.000000,1.919064,
4000,1.873173,0.499669,0.000000,1.873622,
5000,1.838918,0.499916,0.000000,1.848614,
6000,1.812578,0.499925,0.000000,1.801942,
7000,1.768401,0.499982,0.000000,1.767463,
8000,1.734964,0.499938,0.000000,1.742723,
9000,1.730883,0.499937,0.000000,1.721759,
10000,1.709715,0.499991,0.000000,1.713747,
11000,1.699099,0.499953,0.000000,1.696187,
12000,1.687392,0.499975,0.000000,1.674118,
13000,1.666890,0.500118,0.000000,1.670596,
14000,1.661367,0.500055,0.000000,1.661046,
15000,1.657209,0.500008,0.000000,1.652910,
16000,1.649898,0.500043,0.000000,1.641275,
17000,1.637065,0.499976,0.000000,1.636292,
18000,1.630079,0.499997,0.000000,1.625920,
19000,1.616151,0.499949,0.000000,1.635819,
20000,1.611184,0.499928,0.000000,1.627159,
21000,1.613845,0.499974,0.000000,1.610149,
22000,1.600297,0.499899,0.000000,1.602045,
23000,1.589511,0.499997,0.000000,1.600674,
24000,1.594859,0.500044,0.000000,1.592149,
25000,1.580450,0.500044,0.000000,1.586799,
26000,1.581520,0.500032,0.000000,1.578982,
27000,1.575037,0.499919,0.000000,1.576444,
28000,1.565957,0.500112,0.000000,1.576209,
29000,1.563620,0.500042,0.000000,1.566683,
30000,1.564852,0.500001,0.000000,1.566336,
31000,1.556533,0.499918,0.000000,1.565160,
32000,1.549516,0.500037,0.000000,1.558994,
33000,1.559585,0.499977,0.000000,1.554055,
34000,1.546889,0.499908,0.000000,1.553660,
35000,1.537123,0.500042,0.000000,1.546689,
36000,1.547906,0.500118,0.000000,1.544399,
37000,1.535086,0.499981,0.000000,1.540997,
38000,1.536289,0.500158,0.000000,1.537654,
39000,1.533876,0.500061,0.000000,1.534553,
40000,1.528164,0.499999,0.000000,1.533890,
41000,1.532661,0.499771,0.000000,1.530687,
42000,1.525692,0.500016,0.000000,1.528120,
43000,1.521511,0.500029,0.000000,1.526072,
44000,1.516975,0.500312,0.000000,1.526121,
45000,1.524520,0.499939,0.000000,1.523375,
46000,1.517216,0.499820,0.000000,1.522054,
47000,1.522732,0.499917,0.000000,1.520173,
48000,1.512344,0.499816,0.000000,1.520370,
49000,1.514181,0.500171,0.000000,1.518658,
