step,train_loss,qreg_loss,lambda,val_loss,val_loss_snapped
0,6.417323,0.362850,0.000000,6.366080,
1000,1.962667,0.424109,0.000000,1.902409,
2000,1.750217,0.453820,0.000000,1.745701,
3000,1.698468,0.467917,0.000000,1.692154,
4000,1.661966,0.477364,0.000000,1.662973,
5000,1.648773,0.483904,0.000000,1.648911,
6000,1.626396,0.488759,0.000000,1.625453,
7000,1.612231,0.492125,0.000000,1.612291,
8000,1.605555,0.494984,0.000000,1.605397,
9000,1.591958,0.496948,0.000000,1.592403,
10000,1.583976,0.498348,0.000000,1.582008,
11000,1.579101,0.499140,0.000000,1.575443,
12000,1.572116,0.499562,0.000000,1.573527,
13000,1.561744,0.499682,0.000000,1.564887,
14000,1.556549,0.499895,0.000000,1.557776,
15000,1.551416,0.499841,0.000000,1.550975,
16000,1.548442,0.499951,0.000000,1.546626,
17000,1.541877,0.500063,0.000000,1.540111,
18000,1.529830,0.499926,0.000000,1.533867,
19000,1.530882,0.500000,0.000000,1.534465,
20000,1.525760,0.500061,0.000000,1.527600,
21000,1.521505,0.499986,0.000000,1.522266,
22000,1.517987,0.499945,0.000000,1.519464,
23000,1.515393,0.500014,0.000000,1.515123,
24000,1.511067,0.500002,0.000000,1.510088,
25000,1.508578,0.500061,0.000000,1.507753,
26000,1.504497,0.499983,0.000000,1.505917,
27000,1.500918,0.499989,0.000000,1.502524,
28000,1.499101,0.499910,0.000000,1.499309,
29000,1.500940,0.499997,0.000000,1.495140,
30000,1.492588,0.500019,0.000000,1.495874,
31000,1.494384,0.499943,0.000000,1.490362,
32000,1.486043,0.500014,0.000000,1.487971,
33000,1.483992,0.499966,0.000000,1.487073,
34000,1.479740,0.499964,0.000000,1.484985,
35000,1.480513,0.500110,0.000000,1.481039,
36000,1.475629,0.500121,0.000000,1.477558,
37000,1.476702,0.500024,0.000000,1.474870,
38000,1.469226,0.499774,0.000000,1.473787,
39000,1.469854,0.499987,0.000000,1.471504,
40000,1.467563,0.500114,0.000000,1.469258,
41000,1.463191,0.500094,0.000000,1.467798,
42000,1.463590,0.500020,0.000000,1.466573,
43000,1.464195,0.500240,0.000000,1.464478,
44000,1.458682,0.499815,0.000000,1.463987,
45000,1.461584,0.499778,0.000000,1.462335,
46000,1.457202,0.499735,0.000000,1.461053,
47000,1.459220,0.500159,0.000000,1.459859,
48000,1.458074,0.499892,0.000000,1.458370,
49000,1.459681,0.500018,0.000000,1.459079,
