step,train_loss,qreg_loss,lambda,val_loss,val_loss_snapped
0,6.303647,0.362850,0.000000,6.970258,
1000,1.999556,0.533435,0.000000,1.980581,
2000,1.863981,0.519983,0.000000,1.858494,
3000,1.796150,0.513645,0.000000,1.801276,
4000,1.770599,0.509240,0.000000,1.761161,
5000,1.730970,0.505994,0.000000,1.745286,
6000,1.715210,0.503810,0.000000,1.720306,
7000,1.701919,0.502370,0.000000,1.704002,
8000,1.692617,0.501376,0.000000,1.683155,
9000,1.677025,0.500974,0.000000,1.672071,
10000,1.656477,0.500441,0.000000,1.660556,
11000,1.641786,0.500332,0.000000,1.648232,
12000,1.632686,0.500326,0.000000,1.639580,
13000,1.621949,0.500166,0.000000,1.624684,
14000,1.608860,0.500095,0.000000,1.617436,
15000,1.604580,0.500071,0.000000,1.608603,
16000,1.590826,0.500059,0.000000,1.601295,
17000,1.587695,0.500146,0.000000,1.595160,
18000,1.578769,0.500114,0.000000,1.586120,
19000,1.580115,0.499646,0.000000,1.579337,
20000,1.571470,0.500049,0.000000,1.574556,
21000,1.563886,0.500115,0.000000,1.569721,
22000,1.565513,0.500401,0.000000,1.565937,
23000,1.562308,0.499803,0.000000,1.562446,
24000,1.548945,0.500045,0.000000,1.560258,
