step,train_loss,val_loss
0,6.732130,5.935867
1000,2.245883,2.225830
2000,2.088003,2.089277
3000,2.014169,2.001657
4000,1.952210,1.947893
5000,1.907525,1.908733
6000,1.871276,1.887311
7000,1.855849,1.852099
8000,1.821647,1.823418
9000,1.804263,1.807482
10000,1.796460,1.785067
11000,1.774276,1.775319
12000,1.766379,1.765538
13000,1.742308,1.745835
14000,1.733645,1.732008
15000,1.717617,1.721176
16000,1.710338,1.711795
17000,1.699943,1.701967
18000,1.688970,1.691775
19000,1.682303,1.683635
20000,1.677002,1.677729
21000,1.661775,1.671060
22000,1.663155,1.665886
23000,1.665001,1.661553
24000,1.654562,1.657377
