step,train_loss,val_loss
0,6.371922,6.350683
1000,2.123759,2.038802
2000,1.865191,1.857311
3000,1.792570,1.784335
4000,1.749731,1.749801
5000,1.727209,1.728618
6000,1.707595,1.708885
7000,1.682676,1.688594
8000,1.681168,1.680076
9000,1.670765,1.666453
10000,1.663567,1.656241
11000,1.646486,1.648595
12000,1.641720,1.644671
13000,1.635680,1.638520
14000,1.628230,1.626091
15000,1.624624,1.624722
16000,1.617677,1.615630
17000,1.615285,1.610444
18000,1.606417,1.605404
19000,1.602991,1.598783
20000,1.596841,1.597660
21000,1.589388,1.591787
22000,1.588724,1.588403
23000,1.578004,1.581667
24000,1.578082,1.578134
25000,1.578564,1.571545
26000,1.570563,1.569521
27000,1.564211,1.567799
28000,1.559205,1.559655
29000,1.557214,1.557219
30000,1.554238,1.552703
31000,1.544901,1.548646
32000,1.545087,1.547614
33000,1.544699,1.540530
34000,1.540814,1.537223
35000,1.534996,1.535932
36000,1.531546,1.532864
37000,1.527267,1.527896
38000,1.519740,1.527624
39000,1.523268,1.522754
40000,1.515662,1.518588
41000,1.519077,1.515596
42000,1.512110,1.515212
43000,1.513153,1.513767
44000,1.507430,1.510953
45000,1.506883,1.509277
46000,1.504122,1.506412
47000,1.507101,1.505729
48000,1.509804,1.506259
49000,1.503626,1.505112
