step,train_loss,val_loss
0,6.431105,6.432972
1000,2.680133,2.627207
2000,2.215967,2.173251
3000,2.026485,2.012086
4000,1.920255,1.903406
5000,1.850669,1.843019
6000,1.803072,1.823330
7000,1.769663,1.777967
8000,1.749187,1.755459
9000,1.742437,1.741529
10000,1.738668,1.737540
11000,1.715547,1.725321
12000,1.712927,1.709408
13000,1.700738,1.703672
14000,1.690784,1.694817
15000,1.698390,1.699116
16000,1.678564,1.680734
17000,1.684323,1.678206
18000,1.677166,1.688238
19000,1.670005,1.686624
20000,1.672923,1.680078
21000,1.670499,1.675780
22000,1.674835,1.670614
23000,1.680124,1.682373
24000,1.689152,1.682921
25000,1.676771,1.676984
26000,1.677032,1.673680
27000,1.673847,1.672594
28000,1.687389,1.683606
29000,1.677875,1.677477
30000,1.674715,1.671224
31000,1.665989,1.654755
32000,1.684860,1.679023
33000,1.665369,1.665149
34000,1.671247,1.675897
35000,1.674512,1.674937
36000,1.676671,1.668755
37000,1.663984,1.669093
38000,1.659499,1.661325
39000,1.677265,1.690149
40000,1.686952,1.690014
41000,1.662725,1.662933
