step,train_loss,qreg_loss,lambda,val_loss,val_loss_snapped
0,5.952053,0.362790,0.000000,5.965988,
1000,1.772908,0.430697,0.000000,1.737205,
2000,1.637736,0.466706,0.000000,1.631520,
3000,1.600643,0.481791,0.000000,1.593798,
4000,1.580423,0.489928,0.000000,1.581770,
5000,1.563825,0.494617,0.000000,1.567469,
6000,1.550032,0.497226,0.000000,1.548195,
7000,1.537566,0.498428,0.000000,1.533932,
8000,1.528448,0.499270,0.000000,1.526500,
9000,1.519232,0.499618,0.000000,1.519381,
10000,1.512588,0.499749,0.000000,1.509424,
11000,1.503467,0.499952,0.000000,1.503039,
12000,1.498914,0.499935,0.000000,1.499119,
13000,1.498127,0.499896,0.000000,1.493998,
14000,1.489714,0.499909,0.000000,1.491699,
15000,1.487483,0.499914,0.000000,1.487855,
16000,1.481340,0.499894,0.000000,1.482247,
17000,1.472681,0.499952,0.000000,1.475994,
18000,1.474565,0.499961,0.000000,1.474749,
19000,1.471587,0.499978,0.000000,1.472286,
20000,1.469736,0.499994,0.000000,1.466325,
21000,1.464213,0.499960,0.000000,1.465310,
22000,1.459311,0.499906,0.000000,1.460337,
23000,1.458209,0.499935,0.000000,1.458857,
24000,1.456027,0.499993,0.000000,1.455155,
25000,1.451756,0.499930,0.000000,1.452476,
26000,1.450827,0.499987,0.000000,1.446766,
27000,1.447381,0.500039,0.000000,1.447748,
28000,1.444618,0.499944,0.000000,1.443546,
29000,1.443425,0.500048,0.000000,1.441588,
30000,1.436682,0.500007,0.000000,1.440067,
31000,1.439849,0.499887,0.000000,1.435704,
32000,1.435297,0.499990,0.000000,1.434088,
33000,1.432686,0.499964,0.000000,1.432127,
34000,1.432836,0.500077,0.000000,1.430560,
35000,1.431651,0.500061,0.000000,1.428600,
36000,1.427259,0.500015,0.000000,1.426005,
37000,1.423435,0.499885,0.000000,1.423592,
38000,1.421684,0.499898,0.000000,1.423161,
39000,1.418963,0.499983,0.000000,1.420345,
40000,1.420443,0.499832,0.000000,1.419402,
41000,1.416409,0.499956,0.000000,1.417495,
42000,1.418044,0.500155,0.000000,1.416410,
43000,1.414785,0.499934,0.000000,1.415793,
44000,1.413693,0.499967,0.000000,1.415601,
45000,1.411986,0.499879,0.000000,1.412614,
46000,1.410497,0.500264,0.000000,1.412030,
47000,1.412101,0.500051,0.000000,1.409993,
48000,1.411144,0.499901,0.000000,1.411404,
49000,1.409763,0.499840,0.000000,1.410270,
