step,train_loss,val_loss
0,5.787593,5.785293
1000,2.093926,1.984206
2000,1.753459,1.736318
3000,1.687456,1.684420
4000,1.658472,1.659542
5000,1.633182,1.630522
6000,1.616289,1.606976
7000,1.595894,1.594165
8000,1.584713,1.581244
9000,1.574608,1.574785
10000,1.568017,1.565701
11000,1.560549,1.561328
12000,1.550979,1.556641
13000,1.545143,1.554066
14000,1.546300,1.538867
15000,1.538599,1.536194
16000,1.526633,1.525827
17000,1.526013,1.527341
18000,1.519364,1.521797
19000,1.516674,1.513279
20000,1.516162,1.513960
21000,1.512410,1.508912
22000,1.510620,1.507521
23000,1.506810,1.502743
24000,1.499973,1.503981
25000,1.498487,1.502949
26000,1.496185,1.495065
27000,1.493144,1.492784
28000,1.489719,1.489431
29000,1.485657,1.487938
30000,1.485764,1.484408
31000,1.483109,1.485352
32000,1.480649,1.477081
33000,1.477824,1.478810
34000,1.473159,1.475294
35000,1.475790,1.474029
36000,1.470344,1.469724
37000,1.466535,1.469073
38000,1.467407,1.466913
39000,1.466118,1.463975
40000,1.461932,1.463446
41000,1.462634,1.461897
42000,1.462491,1.460635
43000,1.460143,1.460002
44000,1.460114,1.460202
45000,1.461722,1.459369
46000,1.457592,1.456478
47000,1.455637,1.457631
48000,1.453971,1.456663
49000,1.453671,1.454505
