step,train_loss,val_loss
0,5.794936,5.798329
1000,1.847837,1.819902
2000,1.736051,1.727072
3000,1.691435,1.684771
4000,1.663561,1.658109
5000,1.642464,1.635272
6000,1.618074,1.612481
7000,1.603273,1.598533
8000,1.589026,1.583563
9000,1.571243,1.573375
10000,1.568596,1.564498
11000,1.560440,1.555113
12000,1.552922,1.549188
13000,1.544635,1.542587
14000,1.537786,1.535359
15000,1.531955,1.532675
16000,1.532010,1.524785
17000,1.525664,1.520814
18000,1.520738,1.518451
19000,1.515074,1.513439
20000,1.512498,1.509960
21000,1.510652,1.506551
22000,1.507363,1.501820
23000,1.503816,1.500451
24000,1.496412,1.496713
25000,1.496589,1.493832
26000,1.493322,1.492574
27000,1.490085,1.490265
28000,1.487945,1.486078
29000,1.485804,1.484648
30000,1.483076,1.481386
31000,1.479493,1.477691
32000,1.480880,1.477509
33000,1.477110,1.475530
34000,1.474481,1.472709
35000,1.472063,1.470693
36000,1.468964,1.468456
37000,1.467750,1.467793
38000,1.464100,1.466060
39000,1.465549,1.464332
40000,1.464852,1.462538
41000,1.462372,1.461712
42000,1.458414,1.460466
43000,1.457392,1.459584
44000,1.455499,1.457360
45000,1.454814,1.457356
46000,1.454549,1.456563
47000,1.454816,1.455346
48000,1.453835,1.455264
49000,1.454723,1.453794
