step,train_loss,val_loss
0,5.831619,5.824515
1000,1.801800,1.775276
2000,1.695077,1.685582
3000,1.656525,1.652352
4000,1.627621,1.627426
5000,1.609350,1.603146
6000,1.584930,1.583801
7000,1.568712,1.566183
8000,1.556908,1.552234
9000,1.546656,1.543607
10000,1.532057,1.533268
11000,1.528321,1.525278
12000,1.520974,1.519143
13000,1.516177,1.513149
14000,1.506248,1.506436
15000,1.500745,1.502305
16000,1.498886,1.496928
17000,1.491603,1.493514
18000,1.487634,1.488121
19000,1.485737,1.484017
20000,1.480600,1.479676
21000,1.475510,1.476870
22000,1.471902,1.474752
23000,1.472179,1.472945
24000,1.467558,1.468544
25000,1.466282,1.465325
26000,1.464848,1.460904
27000,1.457310,1.459061
28000,1.460629,1.457976
29000,1.456151,1.455273
30000,1.454230,1.451516
31000,1.449045,1.450532
32000,1.444454,1.448526
33000,1.445655,1.445748
34000,1.443086,1.444958
35000,1.441399,1.441479
36000,1.439334,1.439678
37000,1.436451,1.438559
38000,1.437579,1.436858
39000,1.437061,1.434812
40000,1.432754,1.432661
41000,1.430729,1.432625
42000,1.429937,1.430782
43000,1.428037,1.429342
44000,1.428266,1.428946
45000,1.428166,1.427619
46000,1.427339,1.426623
47000,1.425382,1.426367
48000,1.425203,1.425475
49000,1.423381,1.424599
