step,train_loss,val_loss
0,5.832208,5.826223
1000,1.964603,1.934197
2000,1.817470,1.807698
3000,1.762471,1.754073
4000,1.727503,1.721039
5000,1.698811,1.695039
6000,1.674502,1.663074
7000,1.648199,1.645010
8000,1.636700,1.631038
9000,1.617520,1.617524
10000,1.609871,1.605415
11000,1.599459,1.598200
12000,1.591299,1.591342
13000,1.584243,1.583934
14000,1.579548,1.577939
15000,1.570302,1.568676
16000,1.566522,1.562176
17000,1.560800,1.560111
18000,1.557629,1.556224
19000,1.550315,1.550688
20000,1.546566,1.546216
21000,1.542587,1.543588
22000,1.543514,1.537772
23000,1.538387,1.535332
24000,1.534871,1.531668
25000,1.530406,1.528696
26000,1.527732,1.523725
27000,1.522853,1.521107
28000,1.521010,1.519983
29000,1.516039,1.514592
30000,1.516055,1.512104
31000,1.509113,1.510959
32000,1.509718,1.508254
33000,1.510879,1.505813
34000,1.506423,1.503766
35000,1.506023,1.503644
36000,1.503208,1.500437
37000,1.501146,1.497639
38000,1.496169,1.496061
39000,1.495430,1.493920
40000,1.495177,1.493184
41000,1.490203,1.490034
42000,1.491403,1.489747
43000,1.487498,1.488236
44000,1.486179,1.486443
45000,1.488367,1.485921
46000,1.485262,1.484869
47000,1.484391,1.483339
48000,1.486045,1.483248
49000,1.480923,1.481199
