step,train_loss,val_loss
0,5.810138,5.796767
1000,1.930319,1.883235
2000,1.735358,1.721344
3000,1.669318,1.662253
4000,1.636601,1.631932
5000,1.609425,1.608547
6000,1.594659,1.588650
7000,1.575976,1.573423
8000,1.565531,1.563304
9000,1.552466,1.550944
10000,1.541023,1.539821
11000,1.528913,1.524170
12000,1.518254,1.514390
13000,1.501790,1.506909
14000,1.499146,1.497061
15000,1.490193,1.487896
16000,1.482331,1.480513
17000,1.478460,1.475774
18000,1.472667,1.470458
19000,1.467526,1.465859
20000,1.459965,1.460571
21000,1.456467,1.458506
22000,1.453611,1.453974
23000,1.449869,1.449793
24000,1.445554,1.446768
25000,1.441014,1.442538
26000,1.440760,1.440634
27000,1.436056,1.436375
28000,1.430694,1.434490
29000,1.430270,1.433847
30000,1.430840,1.429315
31000,1.427132,1.425211
32000,1.422332,1.426432
33000,1.418602,1.421634
34000,1.419410,1.421858
35000,1.416807,1.419249
36000,1.416223,1.415830
37000,1.415696,1.415013
38000,1.411756,1.412440
39000,1.407771,1.411715
40000,1.407036,1.408000
41000,1.404906,1.407754
42000,1.408227,1.407026
43000,1.402174,1.405403
44000,1.397827,1.403528
45000,1.400306,1.404196
46000,1.396035,1.400762
47000,1.396535,1.399303
48000,1.393347,1.397393
49000,1.393235,1.396084
50000,1.392359,1.394871
51000,1.395741,1.395109
52000,1.392360,1.393632
53000,1.384380,1.390538
54000,1.387794,1.390806
55000,1.388968,1.389437
56000,1.383900,1.388065
57000,1.381047,1.388322
58000,1.380674,1.385566
59000,1.381622,1.385998
60000,1.382454,1.382983
61000,1.381485,1.382058
62000,1.380398,1.379511
63000,1.379433,1.380104
64000,1.375579,1.380134
65000,1.372292,1.378384
66000,1.374341,1.378198
67000,1.371608,1.375021
68000,1.369049,1.374834
69000,1.370144,1.374014
70000,1.369742,1.373996
71000,1.366322,1.372819
72000,1.363609,1.371622
73000,1.363509,1.371544
74000,1.360231,1.369669
75000,1.365108,1.369027
76000,1.362813,1.368224
77000,1.361523,1.367280
78000,1.363313,1.366780
79000,1.363303,1.365812
80000,1.360050,1.364776
81000,1.353597,1.365435
82000,1.358630,1.363824
83000,1.358211,1.362943
84000,1.358224,1.363298
85000,1.356408,1.362181
86000,1.355857,1.361374
87000,1.359089,1.361338
88000,1.351477,1.360779
89000,1.353236,1.360304
90000,1.356255,1.358706
91000,1.353940,1.359966
92000,1.355510,1.358581
93000,1.354620,1.357615
94000,1.352180,1.357748
95000,1.351870,1.357453
96000,1.345432,1.357061
97000,1.351657,1.357718
98000,1.346554,1.358077
99000,1.352292,1.356215
