step,train_loss,val_loss
0,5.826134,5.815027
1000,1.929877,1.883340
2000,1.728885,1.715847
3000,1.664171,1.662867
4000,1.637743,1.639404
5000,1.615317,1.615750
6000,1.595307,1.598758
7000,1.576140,1.579881
8000,1.572258,1.566073
9000,1.555804,1.553775
10000,1.549400,1.540815
11000,1.528724,1.530687
12000,1.521073,1.518149
13000,1.508816,1.507167
14000,1.503622,1.502287
15000,1.490603,1.492896
16000,1.488553,1.486035
17000,1.478572,1.479452
18000,1.477152,1.474845
19000,1.468089,1.470812
20000,1.463201,1.466458
21000,1.458113,1.462465
22000,1.456165,1.457185
23000,1.455676,1.457234
24000,1.451558,1.452087
25000,1.446767,1.448102
26000,1.445371,1.444195
27000,1.442766,1.444216
28000,1.442602,1.440340
29000,1.437514,1.439611
30000,1.432477,1.436616
31000,1.433117,1.433951
32000,1.430975,1.429801
33000,1.424237,1.428791
34000,1.426352,1.427622
35000,1.426178,1.424871
36000,1.424250,1.425327
37000,1.418701,1.422881
38000,1.419212,1.421125
39000,1.418257,1.417476
40000,1.416819,1.417774
41000,1.415101,1.417029
42000,1.412987,1.414403
43000,1.410366,1.414033
44000,1.412849,1.413380
45000,1.407301,1.410832
46000,1.400788,1.408896
47000,1.405282,1.408257
48000,1.401855,1.406659
49000,1.399526,1.405435
50000,1.399915,1.404734
51000,1.403719,1.402758
52000,1.398218,1.402867
53000,1.394016,1.399963
54000,1.394225,1.398974
55000,1.392968,1.397011
56000,1.393912,1.395544
57000,1.393176,1.395587
58000,1.388678,1.393121
59000,1.388196,1.393224
60000,1.387266,1.391275
61000,1.386480,1.390894
62000,1.388451,1.389345
63000,1.384773,1.389273
64000,1.380807,1.389316
65000,1.383668,1.386050
66000,1.384134,1.385810
67000,1.382011,1.384726
68000,1.376133,1.383839
69000,1.375929,1.383538
70000,1.378244,1.382750
71000,1.374355,1.381415
72000,1.378599,1.380929
73000,1.374770,1.380551
74000,1.374979,1.379716
75000,1.377062,1.377834
76000,1.373038,1.376856
77000,1.373729,1.376452
78000,1.369923,1.377120
79000,1.371163,1.375465
80000,1.370364,1.374363
81000,1.369710,1.373846
82000,1.367111,1.372238
83000,1.367617,1.373359
84000,1.363760,1.371943
85000,1.367631,1.371976
86000,1.368678,1.371173
87000,1.366161,1.370691
88000,1.362445,1.370650
89000,1.368537,1.370710
90000,1.365362,1.369745
91000,1.363049,1.369442
92000,1.363439,1.368765
93000,1.360444,1.368462
94000,1.359660,1.368275
95000,1.360964,1.368005
96000,1.359224,1.367419
97000,1.361238,1.367680
98000,1.360834,1.367491
99000,1.363922,1.366671
