step,train_loss,val_loss
0,5.667178,5.559325
1000,1.881209,5.534594
2000,1.723810,5.507560
3000,1.663473,5.491442
4000,1.635299,5.486770
5000,1.618311,5.492525
6000,1.598343,5.505745
7000,1.581972,5.538846
8000,1.569089,5.571327
9000,1.554421,5.629460
10000,1.545813,5.685515
11000,1.534836,5.775332
12000,1.524284,5.852844
13000,1.513427,5.949560
14000,1.508436,6.042066
15000,1.502035,6.132916
16000,1.496340,6.226026
17000,1.489677,6.303665
18000,1.485976,6.355613
19000,1.482133,6.438000
