step,train_loss,val_loss
0,5.638509,5.642440
1000,1.815708,1.790331
2000,1.681944,1.679758
3000,1.637395,1.632686
4000,1.610755,1.607027
5000,1.596661,1.594419
6000,1.582926,1.579209
7000,1.575756,1.574649
8000,1.567079,1.568499
9000,1.565042,1.562981
10000,1.555844,1.556057
11000,1.545396,1.542730
12000,1.541187,1.540366
13000,1.533387,1.532816
14000,1.523716,1.522835
15000,1.517957,1.516497
16000,1.510523,1.513916
17000,1.506655,1.508212
18000,1.506917,1.502427
19000,1.505321,1.502340
20000,1.496967,1.493567
21000,1.492232,1.491425
22000,1.490055,1.486297
23000,1.484277,1.485686
24000,1.477462,1.480931
25000,1.478126,1.478924
26000,1.477165,1.476802
27000,1.475727,1.473467
28000,1.467884,1.473707
29000,1.471897,1.470184
30000,1.467715,1.468527
31000,1.465275,1.466129
32000,1.461605,1.464192
33000,1.461677,1.463774
34000,1.460039,1.460325
35000,1.459421,1.459856
36000,1.458520,1.456978
37000,1.453346,1.456088
38000,1.454943,1.455397
39000,1.448986,1.454745
40000,1.449035,1.451884
41000,1.448570,1.450318
42000,1.446877,1.450060
43000,1.444548,1.449012
44000,1.447364,1.444383
45000,1.443286,1.443573
46000,1.441276,1.444868
47000,1.440604,1.440511
48000,1.440851,1.439541
49000,1.438497,1.438418
50000,1.436701,1.439482
51000,1.434896,1.435948
52000,1.435120,1.434923
53000,1.433464,1.435482
54000,1.432433,1.433431
55000,1.434145,1.430809
56000,1.428438,1.431122
57000,1.426611,1.430333
58000,1.426737,1.428635
59000,1.424937,1.427352
60000,1.426175,1.426214
61000,1.418490,1.424677
62000,1.420822,1.423702
63000,1.417369,1.423913
64000,1.420012,1.423022
65000,1.417938,1.422419
66000,1.419003,1.421235
67000,1.418003,1.420436
68000,1.418641,1.417507
69000,1.416698,1.417631
70000,1.413763,1.417390
71000,1.409081,1.415346
72000,1.408795,1.414068
73000,1.410253,1.414304
74000,1.406147,1.413789
75000,1.411157,1.412833
76000,1.406499,1.411065
77000,1.409046,1.411432
78000,1.406780,1.410549
79000,1.408147,1.409286
80000,1.403747,1.408272
81000,1.407233,1.408805
82000,1.404569,1.406980
83000,1.403789,1.407014
84000,1.401071,1.406482
85000,1.403655,1.405197
86000,1.402325,1.404967
87000,1.397534,1.403578
88000,1.399336,1.404052
89000,1.395665,1.403493
90000,1.402555,1.402705
91000,1.395436,1.402531
92000,1.398154,1.402677
93000,1.395678,1.402187
94000,1.399211,1.401837
95000,1.400484,1.401332
96000,1.392663,1.401642
97000,1.396021,1.400479
98000,1.396218,1.400293
99000,1.395068,1.400074
