step,train_loss,val_loss
0,5.610378,5.615120
1000,1.877107,1.864392
2000,1.771596,1.759697
3000,1.715620,1.710728
4000,1.677793,1.669282
5000,1.655285,1.645272
6000,1.628305,1.626037
7000,1.619439,1.615236
8000,1.609761,1.605628
9000,1.586579,1.592817
10000,1.585340,1.584851
11000,1.574237,1.576482
12000,1.570891,1.570762
13000,1.567194,1.561646
14000,1.558922,1.556124
15000,1.546970,1.550506
16000,1.542910,1.543564
17000,1.545256,1.538607
18000,1.532477,1.535156
19000,1.532015,1.527248
20000,1.528621,1.524002
21000,1.520709,1.520473
22000,1.512555,1.517844
23000,1.521968,1.514393
24000,1.512126,1.511974
