step,train_loss,val_loss
0,5.541936,5.541702
1000,2.268533,2.197735
2000,1.792347,1.773594
3000,1.660693,1.660527
4000,1.614547,1.605981
5000,1.574220,1.574387
6000,1.555213,1.551747
7000,1.526550,1.519325
8000,1.498830,1.500966
9000,1.483505,1.488437
10000,1.481216,1.476710
11000,1.460709,1.464254
12000,1.445386,1.451209
13000,1.437519,1.440612
14000,1.437282,1.429854
15000,1.412659,1.422142
16000,1.415528,1.415830
17000,1.406958,1.407472
18000,1.402657,1.406595
19000,1.399881,1.396375
20000,1.393196,1.392539
21000,1.381027,1.390530
22000,1.384207,1.379987
23000,1.379327,1.379103
24000,1.374726,1.374287
25000,1.369515,1.371811
26000,1.363114,1.369879
27000,1.368410,1.365510
28000,1.361441,1.361028
29000,1.364014,1.361910
30000,1.356265,1.361159
31000,1.353244,1.354949
32000,1.354232,1.354759
33000,1.345497,1.352240
34000,1.351554,1.347719
35000,1.352425,1.351535
36000,1.348287,1.347213
37000,1.347184,1.345173
38000,1.346706,1.343493
39000,1.339233,1.343928
40000,1.338822,1.343482
41000,1.335756,1.338546
42000,1.337535,1.339604
43000,1.337053,1.339231
44000,1.333774,1.337259
45000,1.329744,1.334869
46000,1.331150,1.334159
47000,1.333386,1.331062
48000,1.322168,1.331968
49000,1.325705,1.329294
50000,1.325267,1.329856
51000,1.325920,1.328842
52000,1.325800,1.326146
53000,1.320338,1.322551
54000,1.323466,1.326790
55000,1.326261,1.325409
56000,1.320453,1.326099
57000,1.320692,1.321779
58000,1.318508,1.321049
59000,1.323159,1.320329
60000,1.319983,1.320015
61000,1.314985,1.318876
62000,1.319299,1.321464
63000,1.317424,1.318641
64000,1.320061,1.320808
65000,1.316842,1.320631
66000,1.318576,1.322358
67000,1.317740,1.316998
68000,1.319171,1.317241
69000,1.316054,1.319360
70000,1.314861,1.316494
71000,1.310577,1.316630
72000,1.317117,1.318569
73000,1.319622,1.315784
74000,1.313808,1.317292
75000,1.309687,1.314464
76000,1.314630,1.312488
77000,1.316452,1.313074
78000,1.317975,1.316285
79000,1.312273,1.312812
80000,1.317172,1.314143
81000,1.313265,1.315108
82000,1.310468,1.311547
83000,1.311820,1.313685
84000,1.305913,1.316113
85000,1.307191,1.311524
86000,1.317377,1.312893
87000,1.316554,1.314849
88000,1.314131,1.309995
89000,1.311211,1.315482
90000,1.310256,1.312640
91000,1.314987,1.313042
92000,1.309888,1.310490
93000,1.306598,1.312433
94000,1.310781,1.314119
95000,1.310944,1.314124
96000,1.310634,1.310537
97000,1.308207,1.314060
98000,1.305292,1.309895
99000,1.304236,1.311043
