step,train_loss,val_loss
0,5.614889,5.609747
1000,2.358116,2.310831
2000,2.023857,2.001516
3000,1.878305,1.863701
4000,1.788097,1.783845
5000,1.742872,1.742117
6000,1.714556,1.709959
7000,1.691726,1.687013
8000,1.670768,1.669757
9000,1.657640,1.652008
10000,1.639120,1.641968
11000,1.633574,1.629336
12000,1.614235,1.615517
13000,1.605549,1.605437
14000,1.603048,1.597696
15000,1.588460,1.587352
16000,1.574722,1.580376
17000,1.574165,1.572148
18000,1.571672,1.565854
19000,1.558263,1.560438
20000,1.552037,1.555706
21000,1.548758,1.551330
22000,1.545555,1.547194
23000,1.542409,1.543833
24000,1.547225,1.541687
