step,train_loss,val_loss
0,5.535259,5.532291
1000,2.052801,1.962412
2000,1.704241,1.703340
3000,1.629175,1.624996
4000,1.579280,1.573719
5000,1.534655,1.536098
6000,1.525986,1.515333
7000,1.489551,1.499268
8000,1.475758,1.484273
9000,1.476654,1.470039
10000,1.453953,1.461877
11000,1.442952,1.450717
12000,1.442733,1.440005
13000,1.440140,1.432159
14000,1.421644,1.423758
15000,1.412571,1.415517
16000,1.405335,1.409282
17000,1.402274,1.402431
18000,1.385958,1.396491
19000,1.391519,1.391309
20000,1.387120,1.387123
21000,1.395105,1.381990
22000,1.378728,1.378812
23000,1.375973,1.375558
24000,1.363708,1.372882
