step,train_loss,val_loss
0,5.593995,5.581185
1000,2.251944,2.139100
2000,1.759368,1.726446
3000,1.650187,1.646169
4000,1.611834,1.610849
5000,1.596246,1.586878
6000,1.576853,1.572480
7000,1.559782,1.562369
8000,1.544857,1.551037
9000,1.540506,1.539395
10000,1.521742,1.530366
11000,1.517935,1.522103
12000,1.503696,1.512443
13000,1.501583,1.507236
14000,1.491724,1.497445
15000,1.490491,1.490328
16000,1.489896,1.486080
17000,1.486343,1.478896
18000,1.472525,1.472826
19000,1.464055,1.469038
20000,1.470204,1.464775
21000,1.453793,1.460482
22000,1.455197,1.458030
23000,1.455190,1.455368
24000,1.446842,1.452788
