step,train_loss,val_loss
0,5.582305,5.566766
1000,2.380962,2.315787
2000,1.957014,1.931689
3000,1.745268,1.746167
4000,1.689276,1.697463
5000,1.674753,1.681871
6000,1.719488,1.713782
7000,1.712478,1.710328
8000,1.702915,1.699324
9000,1.680441,1.691052
10000,1.681735,1.681499
11000,1.660163,1.671537
12000,1.646633,1.641595
13000,1.626898,1.630123
14000,1.610805,1.619847
15000,1.601444,1.593124
16000,1.574796,1.582975
17000,1.565823,1.570196
18000,1.557617,1.559747
19000,1.568226,1.555638
20000,1.552380,1.552563
21000,1.553804,1.545230
22000,1.546234,1.541662
23000,1.531627,1.541360
24000,1.548388,1.540110
