step,train_loss,val_loss
0,5.572809,5.566766
1000,2.003740,1.939789
2000,1.715841,1.705151
3000,1.636717,1.637429
4000,1.618299,1.613127
5000,1.562419,1.556202
6000,1.529207,1.521079
7000,1.504727,1.502533
8000,1.499087,1.494241
9000,1.480258,1.488093
10000,1.480661,1.483531
11000,1.474496,1.470239
12000,1.472602,1.467005
13000,1.462523,1.461189
14000,1.454707,1.458160
15000,1.455010,1.454766
16000,1.448536,1.445291
17000,1.447885,1.441387
18000,1.438454,1.440081
19000,1.427317,1.431447
20000,1.426891,1.426728
21000,1.431460,1.422880
22000,1.421668,1.417773
23000,1.415855,1.410283
24000,1.406868,1.405158
25000,1.406378,1.398536
26000,1.395532,1.395647
27000,1.391126,1.391788
28000,1.386975,1.388917
29000,1.383608,1.385074
30000,1.377421,1.381934
31000,1.378880,1.377469
32000,1.376604,1.375562
33000,1.363600,1.372262
34000,1.369472,1.368541
35000,1.365303,1.368725
36000,1.362374,1.363005
37000,1.364653,1.362356
38000,1.363791,1.359593
39000,1.354440,1.358095
40000,1.350135,1.356101
41000,1.352284,1.355490
42000,1.349485,1.354119
43000,1.352536,1.351989
44000,1.353634,1.352642
45000,1.344869,1.350535
46000,1.349339,1.350685
47000,1.349349,1.350059
48000,1.350735,1.348385
49000,1.349125,1.349964
