step,train_loss,val_loss
0,5.569909,5.563451
1000,2.190498,2.130847
2000,1.738762,1.738780
3000,1.668266,1.661133
4000,1.613767,1.618146
5000,1.584433,1.594240
6000,1.586269,1.578306
7000,1.562417,1.565915
8000,1.559664,1.557418
9000,1.542388,1.542242
10000,1.543596,1.533369
11000,1.533664,1.523069
12000,1.522338,1.516718
13000,1.516138,1.507494
14000,1.491183,1.499534
15000,1.490880,1.490257
16000,1.485194,1.483345
17000,1.470019,1.476142
18000,1.463049,1.470369
19000,1.472567,1.464760
20000,1.464365,1.458506
21000,1.459563,1.454460
22000,1.454962,1.450064
23000,1.447957,1.446975
24000,1.455934,1.443485
