step,train_loss,val_loss
0,5.539389,5.540548
1000,2.711215,2.689076
2000,2.578512,2.566144
3000,2.353306,2.322393
4000,2.086563,2.079405
5000,2.015850,2.017462
6000,1.974677,1.959331
7000,1.902842,1.905710
8000,1.868075,1.868806
9000,1.847117,1.840416
10000,1.835382,1.830261
11000,1.796319,1.808212
12000,1.794017,1.797457
13000,1.793129,1.784125
14000,1.789899,1.777431
15000,1.772267,1.764618
16000,1.763649,1.755710
17000,1.743588,1.747764
18000,1.731540,1.743277
19000,1.723273,1.731743
20000,1.741366,1.730084
21000,1.722995,1.726681
22000,1.732618,1.720751
23000,1.709705,1.720488
24000,1.710537,1.720402
