step,train_loss,val_loss
0,5.525609,5.523275
1000,2.099790,2.052670
2000,1.894339,1.891857
3000,1.814619,1.813601
4000,1.750731,1.756851
5000,1.720121,1.719712
6000,1.688403,1.698228
7000,1.684531,1.673950
8000,1.664123,1.662669
9000,1.652983,1.644876
10000,1.633793,1.628532
11000,1.626838,1.614347
12000,1.610888,1.606859
13000,1.592811,1.595773
14000,1.582858,1.582951
15000,1.573989,1.575195
16000,1.566655,1.569290
17000,1.568753,1.563097
18000,1.554609,1.555525
19000,1.553062,1.549368
20000,1.542349,1.543289
21000,1.537429,1.540251
22000,1.540316,1.534986
23000,1.525153,1.531735
24000,1.526778,1.529165
