step,train_loss,val_loss
0,5.533931,5.525458
1000,2.205000,2.130017
2000,1.779958,1.766694
3000,1.654300,1.644434
4000,1.581788,1.583517
5000,1.547489,1.546026
6000,1.519055,1.521629
7000,1.516787,1.503225
8000,1.490167,1.491588
9000,1.483748,1.475578
10000,1.469082,1.461398
11000,1.460759,1.449006
12000,1.445655,1.441966
13000,1.428587,1.430364
14000,1.418817,1.424144
15000,1.411420,1.414796
16000,1.405809,1.407486
17000,1.407903,1.400599
18000,1.393466,1.392602
19000,1.392568,1.388740
20000,1.383457,1.385420
21000,1.379579,1.380564
22000,1.381530,1.376126
23000,1.363814,1.373032
24000,1.369068,1.370796
