step,layer,role,tph,grad_out_norm,latent_norm,ratio
0,0,Q,192,4.210803e-04,4.433516e-01,9.497662e-04
0,0,K,192,4.264147e-04,4.433289e-01,9.618473e-04
0,0,V,128,7.189317e-04,2.958676e-01,2.429910e-03
0,0,Out,1024,6.004025e-03,3.344266e+00,1.795319e-03
0,1,Q,192,4.147242e-04,4.433504e-01,9.354322e-04
0,1,K,192,4.085891e-04,4.430704e-01,9.221766e-04
0,1,V,128,6.795786e-04,2.958083e-01,2.297361e-03
0,1,Out,1024,5.955239e-03,3.344738e+00,1.780480e-03
0,2,Q,192,4.361688e-04,4.432601e-01,9.840021e-04
0,2,K,192,4.632103e-04,4.432484e-01,1.045036e-03
0,2,V,128,6.961414e-04,2.956039e-01,2.354981e-03
0,2,Out,1024,6.165916e-03,3.344570e+00,1.843560e-03
0,3,Q,192,4.209086e-04,4.435995e-01,9.488484e-04
0,3,K,192,4.321780e-04,4.433712e-01,9.747543e-04
0,3,V,128,6.752076e-04,2.959781e-01,2.281275e-03
0,3,Out,1024,5.960012e-03,3.344409e+00,1.782082e-03
0,4,Q,192,4.413972e-04,4.440546e-01,9.940157e-04
0,4,K,192,4.416024e-04,4.430518e-01,9.967284e-04
0,4,V,128,6.922571e-04,2.955641e-01,2.342156e-03
0,4,Out,1024,6.231552e-03,3.344333e+00,1.863317e-03
0,5,Q,192,4.081628e-04,4.434614e-01,9.204021e-04
0,5,K,192,4.102338e-04,4.434226e-01,9.251531e-04
0,5,V,128,6.415215e-04,2.954173e-01,2.171577e-03
0,5,Out,1024,5.967553e-03,3.344219e+00,1.784439e-03
100,0,Q,192,8.900746e-04,1.193238e+00,7.459321e-04
100,0,K,192,3.925435e-04,9.954215e-01,3.943490e-04
100,0,V,128,3.340957e-04,5.365727e-01,6.226476e-04
100,0,Out,1024,1.471449e-03,3.795606e+00,3.876717e-04
100,1,Q,192,3.148705e-04,7.256410e-01,4.339205e-04
100,1,K,192,1.355779e-04,6.131596e-01,2.211136e-04
100,1,V,128,2.277828e-04,4.225136e-01,5.391134e-04
100,1,Out,1024,9.791884e-04,3.578876e+00,2.736022e-04
100,2,Q,192,9.483633e-05,5.643497e-01,1.680453e-04
100,2,K,192,4.495210e-05,5.356687e-01,8.391771e-05
100,2,V,128,1.317184e-04,3.664438e-01,3.594505e-04
100,2,Out,1024,7.937758e-04,3.493224e+00,2.272330e-04
100,3,Q,192,5.730061e-05,4.788603e-01,1.196604e-04
100,3,K,192,1.817448e-05,4.738046e-01,3.835860e-05
