step,train_loss,val_loss
0,5.544656,5.524878
1000,2.052476,1.979791
2000,1.703187,1.692780
3000,1.634321,1.627589
4000,1.572374,1.571233
5000,1.530206,1.527797
6000,1.498222,1.503683
7000,1.491475,1.483086
8000,1.465955,1.466563
9000,1.460143,1.450997
10000,1.444771,1.440463
11000,1.435089,1.426737
12000,1.423023,1.417605
13000,1.404880,1.407542
14000,1.395041,1.399772
15000,1.388604,1.393651
16000,1.381551,1.385075
17000,1.381551,1.376425
18000,1.370508,1.370055
19000,1.366956,1.365152
20000,1.358230,1.361086
21000,1.355430,1.356077
22000,1.355354,1.352757
23000,1.341460,1.350430
24000,1.346119,1.347747
