step,train_loss,val_loss
0,5.527986,5.527651
1000,1.874168,1.802534
2000,1.589134,1.587782
3000,1.521374,1.516117
4000,1.480361,1.480983
5000,1.452167,1.449962
6000,1.430552,1.431715
7000,1.419832,1.420786
8000,1.403690,1.407875
9000,1.394089,1.393705
10000,1.379994,1.384499
11000,1.366360,1.371037
12000,1.363023,1.358237
13000,1.343144,1.349304
14000,1.339057,1.340887
15000,1.331898,1.333505
16000,1.325650,1.326805
17000,1.321150,1.321530
18000,1.314428,1.316064
19000,1.311781,1.311954
20000,1.298410,1.306760
21000,1.297651,1.303128
22000,1.300395,1.299391
23000,1.291764,1.296308
24000,1.294751,1.292479
25000,1.285161,1.291097
26000,1.283378,1.287574
27000,1.281288,1.283749
28000,1.275980,1.280775
29000,1.275363,1.278384
30000,1.268309,1.275643
31000,1.272507,1.274436
32000,1.266445,1.273119
33000,1.261826,1.269597
34000,1.263354,1.268740
35000,1.260765,1.266689
36000,1.256105,1.265001
37000,1.252841,1.264211
38000,1.262935,1.261252
39000,1.248968,1.260774
40000,1.256357,1.258006
41000,1.255139,1.257068
42000,1.255134,1.254892
43000,1.244968,1.254127
44000,1.249756,1.252400
45000,1.238850,1.251242
46000,1.246293,1.249571
47000,1.242573,1.247884
48000,1.243072,1.247343
49000,1.242268,1.245663
50000,1.233842,1.244900
51000,1.236463,1.243825
52000,1.232513,1.242341
53000,1.235020,1.240804
54000,1.232743,1.240832
55000,1.232667,1.239571
56000,1.230529,1.239317
57000,1.226661,1.237912
58000,1.232548,1.236693
59000,1.229388,1.235744
60000,1.227505,1.234862
61000,1.226631,1.233716
62000,1.221093,1.233235
63000,1.225220,1.230955
64000,1.221284,1.230507
65000,1.224627,1.230141
66000,1.221232,1.229874
67000,1.220401,1.228110
68000,1.224880,1.226439
69000,1.220783,1.226948
70000,1.218925,1.226320
71000,1.215802,1.224483
72000,1.214546,1.224022
73000,1.211024,1.222545
74000,1.220168,1.222669
75000,1.211682,1.222286
76000,1.217827,1.220774
77000,1.209313,1.220077
78000,1.209635,1.220248
79000,1.210606,1.218675
80000,1.210324,1.218495
81000,1.203800,1.217401
82000,1.210321,1.217323
83000,1.212549,1.216396
84000,1.212439,1.215781
85000,1.208647,1.214976
86000,1.207913,1.213726
87000,1.204309,1.214177
88000,1.205040,1.213684
89000,1.209175,1.213509
90000,1.199975,1.212685
91000,1.200002,1.213158
92000,1.201510,1.211982
93000,1.200180,1.211675
94000,1.205906,1.211980
95000,1.200998,1.211566
96000,1.204043,1.211586
97000,1.202964,1.211137
98000,1.204337,1.211264
99000,1.199372,1.211219
