step,train_loss,val_loss
0,5.686235,5.671106
1000,1.999405,1.921099
2000,1.633858,1.630684
3000,1.540556,1.532773
4000,1.488438,1.485289
5000,1.457729,1.459446
6000,1.431773,1.439356
7000,1.420019,1.419433
8000,1.404797,1.408585
9000,1.395649,1.397883
10000,1.380890,1.387392
11000,1.369316,1.375060
12000,1.365570,1.362264
13000,1.345915,1.353840
14000,1.343784,1.346497
15000,1.337521,1.340539
16000,1.332107,1.334057
17000,1.327005,1.328660
18000,1.320934,1.325068
19000,1.318715,1.317764
20000,1.305715,1.315257
21000,1.304219,1.310132
22000,1.307936,1.307492
23000,1.299245,1.304450
24000,1.301758,1.301010
25000,1.292125,1.298444
26000,1.291655,1.295569
27000,1.288756,1.293247
28000,1.283924,1.289960
29000,1.283298,1.288268
30000,1.276425,1.284379
31000,1.280078,1.282614
32000,1.274928,1.281932
33000,1.268704,1.279425
34000,1.271522,1.278427
35000,1.268989,1.276507
36000,1.265359,1.275106
37000,1.260652,1.273253
38000,1.270852,1.271271
39000,1.257028,1.269596
40000,1.265316,1.268951
41000,1.264206,1.268126
42000,1.264052,1.265712
43000,1.253324,1.264498
44000,1.259438,1.262690
45000,1.247708,1.261765
46000,1.254484,1.260009
47000,1.252431,1.258630
48000,1.251950,1.258716
49000,1.250415,1.256092
50000,1.242263,1.255280
51000,1.245009,1.254856
52000,1.242123,1.252556
53000,1.243647,1.251525
54000,1.242508,1.251345
55000,1.241165,1.250228
56000,1.239684,1.249380
57000,1.234774,1.248649
58000,1.240934,1.247520
59000,1.239995,1.246812
60000,1.237107,1.245986
61000,1.234840,1.244173
62000,1.229967,1.243054
63000,1.234869,1.242805
64000,1.230179,1.241876
65000,1.233963,1.241189
66000,1.230627,1.239715
67000,1.229060,1.239309
68000,1.233409,1.238125
69000,1.229832,1.237937
70000,1.228568,1.237214
71000,1.224827,1.235810
72000,1.223995,1.235985
73000,1.220636,1.233572
74000,1.228925,1.233800
75000,1.220291,1.233645
76000,1.225846,1.232730
77000,1.217557,1.231261
78000,1.218150,1.231232
79000,1.220360,1.230370
80000,1.218488,1.229010
81000,1.213590,1.228446
82000,1.219511,1.228590
83000,1.221207,1.227105
84000,1.221429,1.226898
85000,1.217272,1.226609
86000,1.216948,1.225885
87000,1.213497,1.225598
88000,1.212808,1.225782
89000,1.218020,1.224653
90000,1.209965,1.224333
91000,1.208736,1.223713
92000,1.210731,1.223370
93000,1.209241,1.223056
94000,1.215287,1.222956
95000,1.210138,1.223163
96000,1.212833,1.222621
97000,1.212680,1.222461
98000,1.213036,1.222387
99000,1.208631,1.221697
