step,train_loss,val_loss
0,7.334489,7.272449
1000,2.437833,2.368029
2000,1.981456,1.969770
3000,1.770663,1.763210
4000,1.700483,1.703428
5000,1.664287,1.667434
6000,1.640284,1.640219
7000,1.637784,1.630158
8000,1.612685,1.610169
9000,1.606617,1.596030
10000,1.589357,1.583959
11000,1.580769,1.577094
12000,1.568717,1.574366
13000,1.548669,1.547442
14000,1.541177,1.540351
15000,1.537367,1.534850
16000,1.527910,1.528479
17000,1.529936,1.533299
18000,1.518171,1.524504
19000,1.518159,1.514750
