step,train_loss,val_loss
0,5.592327,5.580185
1000,2.529679,2.514246
2000,2.057266,2.013399
3000,1.845163,1.830973
4000,1.727531,1.721227
5000,1.664747,1.659950
6000,1.616471,1.621812
7000,1.597996,1.584717
8000,1.564363,1.565193
9000,1.551931,1.541408
10000,1.526086,1.522419
11000,1.513603,1.504967
12000,1.496956,1.494271
13000,1.476655,1.478211
14000,1.464278,1.467799
15000,1.455355,1.456425
16000,1.444597,1.446048
17000,1.446458,1.439931
18000,1.430338,1.430724
19000,1.427749,1.424946
20000,1.416730,1.419269
21000,1.413357,1.413978
22000,1.412551,1.411043
23000,1.397795,1.407020
24000,1.402162,1.403886
